,Type,Name,Betweenness
0,Protein,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,2275837.12331322
1752,MeSH,heart failure,899162.680964269
1760,MeSH,"heart defects, congenital",540109.5593869679
1786,MeSH,heart valve diseases,254560.77721510292
1788,MeSH,aortic valve stenosis,252732.34599811424
1792,MeSH,mitral valve insufficiency,120378.21175924358
1,Protein,Natriuretic peptides A,114431.63254982105
3,Protein,Junctophilin-2,82998.41825664765
1774,MeSH,"heart septal defects, ventricular",66216.57127432572
1754,MeSH,heart block,62542.005964609496
1773,MeSH,"heart septal defects, atrial",57722.85785381456
1781,MeSH,tetralogy of fallot,57582.79878156365
1803,MeSH,heart neoplasms,53306.18111755599
1787,MeSH,aortic valve insufficiency,45004.68508282903
1755,MeSH,bundle-branch block,40026.68431300539
1802,MeSH,"endocarditis, bacterial",37680.11286416144
1761,MeSH,aortic coarctation,30747.97015769261
1759,MeSH,"tachycardia, supraventricular",29775.10766555568
1764,MeSH,coronary vessel anomalies,25366.70010682972
1753,MeSH,atrial flutter,22437.19916836799
1780,MeSH,noonan syndrome,21838.608663576924
1782,MeSH,transposition of great vessels,21238.63187971498
1801,MeSH,endocarditis,21235.702051683005
1770,MeSH,heart septal defects,18672.949089425736
1785,MeSH,turner syndrome,18151.93901391687
1800,MeSH,ventricular outflow obstruction,14684.976794260527
1793,MeSH,mitral valve stenosis,14480.929804397329
2,Protein,Myc box-dependent-interacting protein 1,12805.987504889092
1796,MeSH,pulmonary valve stenosis,12500.01283606188
1767,MeSH,"ductus arteriosus, patent",12226.56060004323
1777,MeSH,hypoplastic left heart syndrome,12072.692208322447
1791,MeSH,mitral valve prolapse,11888.47277563691
1766,MeSH,kartagener syndrome,10842.000000000071
1762,MeSH,bicuspid aortic valve disease,8592.795418215825
1790,MeSH,"aortic stenosis, supravalvular",7255.009451530767
1775,MeSH,double outlet right ventricle,4392.522441799649
1757,MeSH,"tachycardia, paroxysmal",4314.275491050814
1765,MeSH,dextrocardia,3671.910942101908
1776,MeSH,heterotaxy syndrome,3650.915233800931
1794,MeSH,pulmonary atresia,3637.1952198852155
1798,MeSH,tricuspid valve stenosis,3625.210666410579
1768,MeSH,ebstein anomaly,3624.0000000000246
1804,MeSH,"pericarditis, constrictive",3619.438222877156
1763,MeSH,cor triatriatum,3617.60087721638
1795,MeSH,pulmonary valve insufficiency,3617.4218584571186
1784,MeSH,tricuspid atresia,586.2932708563457
1789,MeSH,"aortic stenosis, subvalvular",118.71190580595284
1769,MeSH,eisenmenger complex,27.561575810990934
1771,MeSH,"truncus arteriosus, persistent",21.390033837873005
1772,MeSH,endocardial cushion defects,7.31476177086432
1751,MeSH,endocardial fibroelastosis,5.435722810955295
1778,MeSH,leopard syndrome,3.838461538461539
1756,MeSH,jervell-lange nielsen syndrome,3.0
1783,MeSH,congenitally corrected transposition of the great arteries,1.0714285714285714
1797,MeSH,pulmonary subvalvular stenosis,0.0
1799,MeSH,coronary-subclavian steal syndrome,0.0
1779,MeSH,levocardia,0.0
1758,MeSH,"tachycardia, reciprocating",0.0
